,REP,DEM,Registerd,county_name,State,% age 25-34,% age 35-44,% age 45-54,% age 55-64,% age 65 or older,Median age ,% Bachelor's,% HS diploma,% less than HS diploma,% post grad,% college,Average HH size,Median gross rent,Median value of an owner-occupied home,Median HH income,Median owner cost burden,Median renter cost burden,% Asian,% Black,% Hispanic,% White
75,0.7857916917519566,0.21420830824804335,8305,Appling,GA,11.400555556666667,11.90138889,13.395555556666666,13.177777776666668,18.195277776666668,39.77777777666667,6.354166666666667,39.50083333333333,22.90888889,5.6286111110000006,25.544999999999998,2.5280555556666666,548.9166666666666,78838.88889,43627.5,14.741666666666667,20.922222223333332,1.6468034186666667,44.15964102666667,4.873179487333333,50.83095726333334
100,0.736,0.264,3125,Atkinson,GA,13.655666666666667,12.473666666666668,13.176833333333335,10.997333333333332,12.743833333333335,34.36666666666667,6.289166666666667,39.09433333333333,26.166666666666668,4.212833333333333,24.272666666666666,2.704833333333333,528.5666666666667,70453.33333333333,37215.18333333333,14.826666666666668,26.663333333333338,0.48233333333333334,27.71377778,7.339555555666667,65.74600000000001
114,0.8653887572690071,0.1346112427309929,4643,Bacon,GA,12.69555556,12.57,12.24777778,13.60555556,16.56666667,38.77777778,7.003333333,40.71333333,20.81666667,4.6511111110000005,26.51666667,2.693333333,558.1111111,75433.33333,39905.777780000004,14.91111111,26.01111111,0.12,43.04,8.93,51.26
117,0.579083279535184,0.420916720464816,1549,Baker,GA,11.045,9.17,13.5,14.585,25.12,45.5,8.285,38.31,20.32,4.405,30.075,2.91,484.5,76250.0,36886.5,15.85,20.5,0.42200000000000004,0.8240000000000001,3.114,95.73
120,0.49343235603835284,0.5065676439616472,18043,Baldwin,GA,12.20846154,8.98076923,11.97730769,13.55653846,14.79923077,33.73076923,6.65,38.808846155,25.165384615,5.354230769,24.120384615,2.9576923075,707.46153845,75292.3077,33768.769230000005,20.19230769,34.265384615,0.526,73.831,0.7545000000000001,22.439
125,0.893204995989458,0.106795004010542,8727,Banks,GA,11.578333335,12.82,12.725833335,12.995833335,15.785,36.083333335,7.4258333335,40.284166665,24.973333335,4.311666666500001,23.345833335000002,2.9091666665,708.75,141741.66665,43469.666665,17.658333335000002,25.916666665,1.07175,11.071749999999998,6.784000000000001,83.146
137,0.7194565275763922,0.2805434724236078,37242,Barrow,GA,13.216807352,13.775414538000001,14.700800668,11.53536976,12.337785128,36.446115288,16.387091396,30.220378947999997,13.029243443999999,8.5155014206,32.116548370000004,2.8720845446,1131.8172766,190518.85046,72023.43482000001,17.733751046,28.782406016,1.4563809524,21.0270476186,5.6182857142,73.846095238
143,0.7573677429744746,0.2426322570255254,49676,Bartow,GA,11.091441798111113,13.169910053333332,15.299813492222224,14.207810846666668,15.024707672222226,41.13981481555555,12.240879630000002,35.62076984111111,16.668912700000003,6.756296296333334,29.21911772555556,2.7214431217777784,892.3715608444444,157869.1931222222,59945.78531777779,17.54366402222222,27.03269841222222,0.6943777055555556,25.563198052222223,3.523914742555556,70.3299284511111
173,0.6321131959397108,0.3678868040602891,6502,Ben Hill,GA,11.80625,13.99125,13.44625,13.17375,15.69875,40.125,6.86875,43.59625,19.4825,3.665,27.7075,2.61875,578.125,77450.0,36296.375,17.5125,31.475,3.1925,24.22375,8.7225,62.65875
195,0.8348313143154878,0.16516868568451218,7677,Berrien,GA,13.5120833325,12.491458332499999,13.3195833325,12.381666665000001,14.719791664999999,36.895833332500004,9.4547916665,37.90375,17.8235416675,5.7704166665,29.135625,2.40083333325,674.4375,97872.9166675,41041.625,15.4875,27.610416665,0.58529166675,23.740833332500003,12.63925,68.9926666675
201,0.38006882707198164,0.6199311729280184,69740,Bibb,GA,12.89461602,11.5693314263,12.771616425,13.917242063000003,14.464807138999998,38.245716408,13.159828606900001,33.98123459600001,17.7637766664,8.7028775712,27.024312246,2.5522231739,764.3313704,114302.95086499999,41919.810681,17.16046566,33.426037788,2.1797233766,39.765535931,5.6890363636000005,53.621825107999996
