ZipCode,City,State,% age 25-34,% age 35-44,% age 45-54,% age 55-64,% age 65 or older,Median age ,% Bachelor's,% HS diploma,% less than HS diploma,% post grad,% college,Average HH size,Median gross rent,Median value of an owner-occupied home,Median HH income,Median owner cost burden,Median renter cost burden,% Asian,% Black,% Hispanic,% White,Predominant race,Population,Unemployment Rate,Total population of state
00501,HOLTSVILLE,NY,14.95,11.62,22.52,13.01,10.54,38.0,16.0,37.65,7.8,8.81,34.59,2.47,1378.0,319300.0,94898.0,23.5,21.5,1.76,1.76,21.32,94.15,White,0,6.6,19324473
00601,ADJUNTAS,PR,13.98666667,10.57,10.86666667,10.59,19.08333333,36.66666667,16.39,22.97666667,26.70666667,8.616666667,25.22333333,2.673333333,514.6666667,108700.0,12740.0,15.33333333,31.86666667,1.343333333,1.333333333,98.14666667,79.6,Hispanic,18570,41.2,3722381
00602,AGUADA,PR,11.2425,12.73,13.905,14.9125,18.19,42.25,18.27,24.1025,28.165,8.7,21.0125,2.7525,482.0,110975.0,18458.5,14.925,29.875,0.25,4.3775,92.88,69.3825,Hispanic,41520,17.7,3722381
00603,AGUADILLA,PR,12.02647059,12.12647059,12.68411765,13.19882353,20.61411765,41.47058824,17.27411765,27.54588235,28.65470588,6.383529412000001,19.61588235,2.481875,418.5625,108950.0,15634.5,13.09375,32.84375,1.009411765,3.694705882,97.20823529,73.70235294,Hispanic,54689,22.5,3722381
00604,AGUADILLA,PR,8.73,17.29,14.59,12.11,12.75,38.0,39.25,14.8,11.09,16.94,19.23,2.25,751.0,154000.0,26890.0,19.9,26.8,1.0,5.28,86.37,71.95,Hispanic,0,22.5,3722381
00605,AGUADILLA,PR,16.31,10.02,12.78,9.93,18.93,36.0,14.58,29.07,29.42,3.0,20.82,2.59,406.0,107300.0,11607.0,12.9,51.0,1.97,2.79,97.57,75.76,Hispanic,0,22.5,3722381
00606,MARICAO,PR,11.36333333,13.66,12.21666667,14.03,17.37333333,41.0,12.15333333,34.59,35.96,3.743333333,13.43333333,3.453333333,349.6666667,91733.33333,15497.0,10.5,38.36666667,0.0,2.786666667,99.71333333,61.09666667,Hispanic,6615,12,3722381
00610,ANASCO,PR,11.0,12.635,13.795,12.9425,22.12,42.75,13.6,30.84,29.1325,2.9775,23.75,2.85,383.0,93450.0,18969.25,14.05,35.35,0.0,4.1425,96.0875,58.6075,Hispanic,29016,14.7,3722381
00611,ANGELES,PR,9.37,11.46,18.59,12.43,16.48,38.0,13.44,25.76,30.53,2.75,26.75,3.38,361.0,86900.0,16955.0,11.3,41.4,0.88,1.93,98.95,67.87,Hispanic,0,30.5,3722381
00612,ARECIBO,PR,11.56291667,12.50583333,13.49583333,11.72541667,20.84166667,41.75,16.21791667,29.53708333,27.47083333,5.089583333,22.25291667,2.745454545,453.9545455,95122.72727,17441.04545,14.92727273,35.46363636,0.9775,4.43125,99.44875,83.58833333,Hispanic,67010,18.8,3722381
